Groupe1;I know that an indication caused us to recommend therapy last night .;I remember that the gift cost a lot of money at the last minute . ;The newspaper reported that the novel received favorable reviews in the press . ;I know that the painting fetched a high price at auction sometime last year . ;You remember that the instructions fell into the furnace much to our regret . ;She told me that an allergy causes him to avoid dining out ever since he was young .;She knows that the delivery arrived around noon last Tuesday . ;We all remember that the package got lost in the mail in the holiday rush . ;My friend reported that the symphony moved my mother to tears yesterday night . ;I have an idea about that the play upset me last night . ;She can guess that a forward claimed that Elvis is still alive over the weekend . ;The newspaper reported that a mix was used for the salad dressing every time she cooked .;We recall that a critique found support online late in the afternoon . ;I remember that a diatribe was published in the local newspaper yesterday night . ;Our friend guessed that a picture appeared in the newspaper yesterday afternoon .;The mayor told me that a photograph was taken by the war correspondent two days after the battle . ;My friend remembers that a description was disliked by the bishop over a year ago .;The newspaper said that the present was imported from Italy while I was on vacation .;Our neighbor said that the argument tore their marriage apart yesterday . ;My friend told me that a proposal suggested increasing employe benefits last evening . ;She can not believe that a conference took place downtown last spring .
Groupe2;I know that caused us to recommend therapy last night . ;I remember that cost a lot of money at the last minute . ;The newspaper reported that received favorable reviews in the press .;I know that fetched a high price at auction sometime last year . ;You remember that fell into the furnace much to our regret . ;She told me that causes him to avoid dining out ever since he was young . ;She knows that arrived around noon last Tuesday . ;We all remember that got lost in the mail in the holiday rush . ;My friend reported that moved my mother to tears yesterday night . ;I have an idea about that upset me last night . ;She can guess that claimed that Elvis is still alive over the weekend . ;The newspaper reported that was used for the salad dressing every time she cooked . ;We recall that found support online late in the afternoon . ;I remember that was published in the local newspaper yesterday night .;Our friend guessed that appeared in the newspaper yesterday afternoon . ;The mayor told me that was taken by the war correspondent two days after the battle . ;My friend remembers that was disliked by the bishop over a year ago . ;The newspaper said that was imported from Italy while I was on vacation . ;Our neighbor said that tore their marriage apart yesterday . ;My friend told me that suggested increasing employe benefits last evening . ;She can not believe that took place downtown last spring . 
Groupe3;I know what an indication caused us to recommend therapy last night . ;I remember what the gift cost a lot of money at the last minute . ;The newspaper reported what the novel received favorable reviews in the press . ;I know what the painting fetched a high price at auction sometime last year . ;You remember what the instructions fell into the furnace much to our regret . ;She told me what an allergy causes him to avoid dining out ever since he was young . ;She knows what the delivery arrived around noon last Tuesday . ;We all remember what the package got lost in the mail in the holiday rush . ;My friend reported what the symphony moved my mother to tears yesterday night . ;I have an idea about what the play upset me last night . ;She can guess what a forward claimed that Elvis is still alive over the weekend . ;The newspaper reported what a mix was used for the salad dressing every time she cooked . ;We recall what a critique found support online late in the afternoon . ;I remember what a diatribe was published in the local newspaper yesterday night . ;Our friend guessed what a picture appeared in the newspaper yesterday afternoon . ;The mayor told me what a photograph was taken by the war correspondent two days after the battle . ;My friend remembers what a description was disliked by the bishop over a year ago . ;The newspaper said what the present was imported from Italy while I was on vacation . ;Our neighbor said what the argument tore their marriage apart yesterday . ;My friend told me what a proposal suggested increasing employe benefits last evening . ;She can not believe what a conference took place downtown last spring . 
Groupe4;I know what caused us to recommend therapy last night . ;I remember what cost a lot of money at the last minute . ;The newspaper reported what received favorable reviews in the press . ;I know what fetched a high price at auction sometime last year . ;You remember what fell into the furnace much to our regret . ;She told me what causes him to avoid dining out ever since he was young . ;She knows what arrived around noon last Tuesday . ;We all remember what got lost in the mail in the holiday rush . ;My friend reported what moved my mother to tears yesterday night . ;I have an idea about what upset me last night . ;She can guess what claimed that Elvis is still alive over the weekend . ;The newspaper reported what was used for the salad dressing every time she cooked . ;We recall what found support online late in the afternoon . ;I remember what was published in the local newspaper yesterday night . ;Our friend guessed what appeared in the newspaper yesterday afternoon . ;The mayor told me what was taken by the war correspondent two days after the battle . ;My friend remembers what was disliked by the bishop over a year ago . ;The newspaper said what was imported from Italy while I was on vacation . ;Our neighbor said what tore their marriage apart yesterday . ;My friend told me what suggested increasing employe benefits last evening . ;She can not believe what took place downtown last spring . 
Groupe5;I know that an indication that signaled depression caused us to recommend therapy last night . ;I remember that the gift that we bought Mary cost a lot of money at the last minute . ;The newspaper reported that the novel that provoked the famous author received favorable reviews in the press . ;I know that the painting that depicted Monet fetched a high price at auction sometime last year . ;You remember that the instructions that showed how to operate the submarine fell into the furnace much to our regret . ;She told me that an allergy that is caused by peanuts causes him to avoid dining out ever since he was young . ;She knows that the delivery that shocked Sarah arrived around noon last Tuesday . ;We all remember that the package that Sarah described to Robert got lost in the mail in the holiday rush . ;My friend reported that the symphony that was dedicated to Mozart moved my mother to tears yesterday night . ;I have an idea about that the play that delighted the amateur comedian upset me last night . ;She can guess that a forward that introduced the new manuscript claimed that Elvis is still alive over the weekend . ;The newspaper reported that a mix that included oil and vinegar was used for the salad dressing every time she cooked . ;We recall that a critique that was aimed at the fossil fuel industry found support online late in the afternoon . ;I remember that a diatribe that criticized the mayor was published in the local newspaper yesterday night . ;Our friend guessed that a picture that showed the convict appeared in the newspaper yesterday afternoon . ;The mayor told me that a photograph that shocked the public was taken by the war correspondent two days after the battle . ;My friend remembers that a description that mocked abbey life was disliked by the bishop over a year ago . ;The newspaper said that the present that we gave Simon was imported from Italy while I was on vacation . ;Our neighbor said that the argument that concerned childcare tore their marriage apart yesterday . ;My friend told me that a proposal that he will deliver to the board suggested increasing employe benefits last evening . ;She can not believe that a conference that popularized cell evolution took place downtown last spring . 
Groupe6;I know that an indication that signaled caused us to recommend therapy last night . ;I remember that the gift that we bought cost a lot of money at the last minute . ;The newspaper reported that the novel that provoked received favorable reviews in the press . ;I know that the painting that depicted fetched a high price at auction sometime last year . ;You remember that the instructions that showed how to operate fell into the furnace much to our regret . ;She told me that an allergy that is caused by causes him to avoid dining out ever since he was young . ;She knows that the delivery that shocked arrived around noon last Tuesday . ;We all remember that the package that Sarah described to got lost in the mail in the holiday rush . ;My friend reported that the symphony that was dedicated to moved my mother to tears yesterday night . ;I have an idea about that the play that delighted upset me last night . ;She can guess that a forward that introduced claimed that Elvis is still alive over the weekend . ;The newspaper reported that a mix that included was used for the salad dressing every time she cooked . ;We recall that a critique that was aimed at found support online late in the afternoon . ;I remember that a diatribe that criticized was published in the local newspaper yesterday night . ;Our friend guessed that a picture that showed appeared in the newspaper yesterday afternoon . ;The mayor told me that a photograph that shocked was taken by the war correspondent two days after the battle . ;My friend remembers that a description that mocked was disliked by the bishop over a year ago . ;The newspaper said that the present that we gave was imported from Italy while I was on vacation . ;Our neighbor said that the argument that concerned tore their marriage apart yesterday . ;My friend told me that a proposal that he will deliver to suggested increasing employe benefits last evening . ;She can not believe that a conference that popularized took place downtown last spring . 
Groupe7;I know what an indication that signaled depression caused us to recommend therapy last night . ;I remember who the gift that we bought Mary cost a lot of money at the last minute . ;The newspaper reported who the novel that provoked the famous author received favorable reviews in the press . ;I know who the painting that depicted Monet fetched a high price at auction sometime last year . ;You remember what the instructions that showed how to operate the submarine fell into the furnace much to our regret . ;She told me what an allergy that is caused by peanuts causes him to avoid dining out ever since he was young . ;She knows who the delivery that shocked Sarah arrived around noon last Tuesday . ;We all remember who the package that Sarah described to Robert got lost in the mail in the holiday rush . ;My friend reported who the symphony that was dedicated to Mozart moved my mother to tears yesterday night . ;I have an idea about who the play that delighted the amateur comedian upset me last night . ;She can guess what a forward that introduced the new manuscript claimed that Elvis is still alive over the weekend . ;The newspaper reported what a mix that included oil and vinegar was used for the salad dressing every time she cooked . ;We recall what a critique that was aimed at the fossil fuel industry found support online late in the afternoon . ;I remember who a diatribe that criticized the mayor was published in the local newspaper yesterday night . ;Our friend guessed who a picture that showed the convict appeared in the newspaper yesterday afternoon . ;The mayor told me who a photograph that shocked the public was taken by the war correspondent two days after the battle . ;My friend remembers what a description that mocked abbey life was disliked by the bishop over a year ago . ;The newspaper said who the present that we gave Simon was imported from Italy while I was on vacation . ;Our neighbor said what the argument that concerned childcare tore their marriage apart yesterday . ;My friend told me who a proposal that he will deliver to the board suggested increasing employe benefits last evening . ;She can not believe what a conference that popularized cell evolution took place downtown last spring . 
Groupe8;I know what an indication that signaled caused us to recommend therapy last night . ;I remember who the gift that we bought cost a lot of money at the last minute . ;The newspaper reported who the novel that provoked received favorable reviews in the press . ;I know who the painting that depicted fetched a high price at auction sometime last year . ;You remember what the instructions that showed how to operate fell into the furnace much to our regret . ;She told me what an allergy that is caused by peanuts causes him to avoid dining out ever since he was young . ;She knows who the delivery that shocked arrived around noon last Tuesday . ;We all remember who the package that Sarah described to got lost in the mail in the holiday rush . ;My friend reported who the symphony that was dedicated to moved my mother to tears yesterday night . ;I have an idea about who the play that delighted upset me last night . ;She can guess what a forward that introduced claimed that Elvis is still alive over the weekend . ;The newspaper reported what a mix that included was used for the salad dressing every time she cooked . ;We recall what a critique that was aimed at found support online late in the afternoon . ;I remember who a diatribe that criticized was published in the local newspaper yesterday night . ;Our friend guessed who a picture that showed appeared in the newspaper yesterday afternoon . ;The mayor told me who a photograph that shocked was taken by the war correspondent two days after the battle . ;My friend remembers what a description that mocked was disliked by the bishop over a year ago . ;The newspaper said who the present that we gave was imported from Italy while I was on vacation . ;Our neighbor said what the argument that concerned tore their marriage apart yesterday . ;My friend told me who a proposal that he will deliver to suggested increasing employe benefits last evening . ;She can not believe what a conference that popularized took place downtown last spring . 
Groupe9;I know that an indication what depression caused us to recommend therapy last night . ;I remember that the gift who Mary cost a lot of money at the last minute . ;The newspaper reported that the novel who the famous author received favorable reviews in the press . ;I know that the painting who Monet fetched a high price at auction sometime last year . ;You remember that the instructions what the submarine fell into the furnace much to our regret . ;She told me what an allergy that is caused by causes him to avoid dining out ever since he was young . ;She knows that the delivery who Sarah arrived around noon last Tuesday . ;We all remember that the package who Robert got lost in the mail in the holiday rush . ;My friend reported that the symphony who Mozart moved my mother to tears yesterday night . ;I have an idea about that the play who the amateur comedian upset me last night . ;She can guess that a forward what the new manuscript claimed that Elvis is still alive over the weekend . ;The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time she cooked . ;We recall that a critique what the fossil fuel industry found support online late in the afternoon . ;I remember that a diatribe who the mayor was published in the local newspaper yesterday night . ;Our friend guessed that a picture who the convict appeared in the newspaper yesterday afternoon . ;The mayor told me that a photograph who the public was taken by the war correspondent two days after the battle . ;My friend remembers that a description what abbey life was disliked by the bishop over a year ago . ;The newspaper said that the present who Simon was imported from Italy while I was on vacation . ;Our neighbor said that the argument what childcare tore their marriage apart yesterday . ;My friend told me that a proposal who the board suggested increasing employe benefits last evening . ;She can not believe that a conference what cell evolution took place downtown last spring . 
Groupe10;I know that an indication what caused us to recommend therapy last night . ;I remember that the gift who cost a lot of money at the last minute . ;The newspaper reported that the novel who received favorable reviews in the press . ;I know that the painting who fetched a high price at auction sometime last year . ;You remember that the instructions what fell into the furnace much to our regret . ;She told me that an allergy what peanuts causes him to avoid dining out ever since he was young . ;She knows that the delivery who arrived around noon last Tuesday . ;We all remember that the package who got lost in the mail in the holiday rush . ;My friend reported that the symphony who moved my mother to tears yesterday night . ;I have an idea about that the play who upset me last night . ;She can guess that a forward what claimed that Elvis is still alive over the weekend . ;The newspaper reported that a mix what was used for the salad dressing every time she cooked . ;We recall that a critique what found support online late in the afternoon . ;I remember that a diatribe who was published in the local newspaper yesterday night . ;Our friend guessed that a picture who appeared in the newspaper yesterday afternoon . ;The mayor told me that a photograph who was taken by the war correspondent two days after the battle . ;My friend remembers that a description what was disliked by the bishop over a year ago . ;The newspaper said that the present who was imported from Italy while I was on vacation . ;Our neighbor said that the argument what tore their marriage apart yesterday . ;My friend told me that a proposal who suggested increasing employe benefits last evening . ;She can not believe that a conference what took place downtown last spring . 
Groupe11;I know what an indication what depression caused us to recommend therapy last night . ;I remember who the gift who Mary cost a lot of money at the last minute . ;The newspaper reported who the novel who the famous author received favorable reviews in the press . ;I know who the painting who Monet fetched a high price at auction sometime last year . ;You remember what the instructions what the submarine fell into the furnace much to our regret . ;She told me that an allergy what causes him to avoid dining out ever since he was young . ;She knows who the delivery who Sarah arrived around noon last Tuesday . ;We all remember who the package who Robert got lost in the mail in the holiday rush . ;My friend reported who the symphony who Mozart moved my mother to tears yesterday night . ;I have an idea about who the play who the amateur comedian upset me last night . ;She can guess what a forward what the new manuscript claimed that Elvis is still alive over the weekend . ;The newspaper reported what a mix what oil and vinegar was used for the salad dressing every time she cooked . ;We recall what a critique what the fossil fuel industry found support online late in the afternoon . ;I remember who a diatribe who the mayor was published in the local newspaper yesterday night . ;Our friend guessed who a picture who the convict appeared in the newspaper yesterday afternoon . ;The mayor told me who a photograph who the public was taken by the war correspondent two days after the battle . ;My friend remembers what a description what abbey life was disliked by the bishop over a year ago . ;The newspaper said who the present who Simon was imported from Italy while I was on vacation . ;Our neighbor said what the argument what childcare tore their marriage apart yesterday . ;My friend told me who a proposal who the board suggested increasing employe benefits last evening . ;She can not believe what a conference what cell evolution took place downtown last spring . 
